City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,northam,51.0333,-4.2167,65.25,94,85,4.38,GB,1691614677
331,akureyri,65.6835,-18.0878,48.13,76,40,10.36,IS,1691614677
332,kidal,18.4411,1.4078,96.58,30,100,7.74,ML,1691614677
333,lebu,-37.6167,-73.65,53.08,94,100,23.67,CL,1691614677
334,alva,56.1528,-3.8051,63.66,86,79,5.17,GB,1691614677
335,guerrero negro,27.9769,-114.0611,82.08,58,13,17.65,MX,1691614507
336,rymarov,49.9318,17.2718,52.25,94,7,2.62,CZ,1691614678
337,westport,41.1415,-73.3579,87.28,47,40,11.01,US,1691614530
338,akjoujt,19.6969,-14.4164,96.3,22,2,15.93,MR,1691614678
339,colac,-38.3333,143.5833,47.84,94,41,9.24,AU,1691614678
340,rathgar,53.3146,-6.275,72.27,84,75,5.75,IE,1691614678
341,port saint john's,-31.6229,29.5448,63.41,82,97,10.87,ZA,1691614498
342,gutao,37.2025,112.1781,71.24,82,48,2.86,CN,1691614522
343,brynamman,51.8,-3.8667,64.54,87,43,1.83,GB,1691614679
344,enriquillo,17.9,-71.2333,92.88,69,8,11.5,DO,1691614679
345,taroudant,30.4703,-8.877,84.4,43,80,2.15,MA,1691614679
346,charters towers,-20.1,146.2667,54.97,91,18,7.76,AU,1691614679
347,kudymkar,59.0173,54.656,56.62,77,25,4.9,RU,1691614680
348,santa ana,33.7456,-117.8678,94.41,66,75,12.66,US,1691614585
349,caleta de carquin,-11.0925,-77.6267,70.43,69,35,10.71,PE,1691614680
350,maun,-19.9833,23.4167,64.36,20,0,6.91,BW,1691614680
351,abhar,36.1468,49.218,67.89,62,0,5.26,IR,1691614680
352,prachuap khiri khan,12.2167,99.75,74.16,85,96,3.89,TH,1691614680
353,antsiranana,-12.2787,49.2917,71.64,79,1,11.59,MG,1691614681
354,antofagasta,-23.65,-70.4,63.68,75,36,5.01,CL,1691614681
355,jaisinghnagar,23.7,81.3833,75.65,86,100,5.64,IN,1691614681
356,port blair,11.6667,92.75,82.44,83,75,5.75,IN,1691614538
357,anton lizardo,19.05,-95.9833,91.22,69,48,9.73,MX,1691614681
358,benjamin constant,-4.3831,-70.0311,89.73,66,20,3.44,BR,1691614398
359,al jawf,29.5,38.75,87.94,21,0,4.85,SA,1691614682
360,qinnan,33.2531,119.9133,71.35,88,15,6.46,CN,1691614682
361,maragogi,-9.0122,-35.2225,74.95,76,7,10.29,BR,1691614682
362,turpan,42.9333,89.1667,90.66,27,30,3.47,CN,1691614682
363,belaya kholunitsa,58.84,50.8528,61.75,86,20,2.91,RU,1691614683
364,sampit,-2.5333,112.95,71.64,92,17,2.33,ID,1691614600
